DOW,area.hectares,max_depth_m,mean.gdd,proportion_disturbed_ws,littoral.zone,secchi.m,blackbullhead,blackcrappie,bowfin,brownbullhead,commoncarp,goldenshiner,greensunfish,largemouthbass,northernpike,rockbass,smallmouthbass,walleye,whitesucker,yellowbullhead,yellowperch,Lepomis,coldwater
1000100,152.8741834,8.5344,2630.621967,0.189212019,0.35774741,1.7525,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0
1001400,34.63707474,7.0104,2482.923953,0.026595745,NA,1.3,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0
1002300,223.993701,8.2296,2350.187171,0.089225209,1,4.42,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0
1002400,13.83621434,6.4008,2460.769762,0.029213483,NA,2.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1003300,953.1124203,6.4008,2401.477624,0.050561973,0.861831982,1.51125,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0
1003400,97.14892116,3.6576,2486.982829,0.065552796,0.788643611,1.07,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0
1003800,54.09033076,14.3256,2469.725859,0.046772684,NA,2.2287,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0
1004000,266.6111837,10.668,2445.647738,0.027596454,NA,1.8288,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1
1006200,2463.780977,25.6032,2445.647738,0.085249662,0.439424041,1.2465625,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
1007000,74.88309744,15.8496,2480.919772,0.048621837,NA,2.286,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1
1007700,174.5410718,6.4008,2473.903769,0.037138321,NA,1.52,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0
1008700,168.3857977,13.716,2300.810038,0.098057703,0.989598935,4.27,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0
1008900,175.0590699,35.3568,2409.218181,0.064961,0.489328,3.2,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1
1009100,85.63560446,15.5448,2490.156694,0.146871629,NA,3.15,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0
1009300,229.9061635,7.3152,2351.342403,0.127233929,NA,4.725,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0
1009600,241.8646348,14.6304,2432.536108,0.070645465,0.789843974,3.2,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1
1009900,290.3419707,13.4112,2426.508341,0.160946002,0.694232489,2.043333334,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0
1010200,140.8631029,11.8872,2408.743504,0.067080921,NA,4.72,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0
1010400,60.40343236,11.2776,2495.235466,0.203086021,NA,2.555,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0
1010500,127.2656533,4.572,2513.126515,0.108722771,0.529034847,1.07,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0
1010900,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1011700,169.2234978,8.8392,2470.610526,0.149457318,NA,2.6,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,0
1012300,209.6799572,7.62,2559.630896,0.161533552,0.523635451,1.2,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0
1012500,175.3261626,18.288,2431.607676,0.21506332,1,6.86,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0
1012900,161.902728,11.2776,2487.358667,0.109823613,0.904488101,2.55,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0
1013600,269.5572977,11.5824,2484.455168,0.061532729,0.502186447,1.83,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0
1013700,256.4899868,17.9832,2434.968192,0.053094613,0.81739925,4.7384,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0
1014200,320.567968,14.6304,2340.419674,0.11276177,NA,3.6957,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0
1014600,254.6446186,11.8872,2477.278599,0.163324039,0.502975168,1.522,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1
1014700,338.7424163,9.4488,2520.268755,0.029157915,0.409371616,1.22,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0
1015700,257.0079849,23.7744,2449.360205,0.088090272,0.737483826,3.81125,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0
1015900,810.5658237,17.0688,2444.519173,0.141425465,0.896829321,3.58,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
1016100,152.016249,13.4112,2496.270554,0.068388868,NA,3.2,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0
1017000,128.1154939,10.668,2477.278599,0.161175293,NA,2.1325,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0
1017800,211.8935896,14.9352,2479.115459,0.140469454,0.920209473,3.9612,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1
1020400,296.6874472,38.1,2435.764669,0.07002271,0.500403701,3.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1020900,706.2863352,32.004,2489.152732,0.15548882,NA,3.52552,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1
1021200,104.3563788,7.3152,2549.286212,0.013123718,0.381869785,0.9144,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0
2000300,122.3001561,6.4008,2660.264492,0.326644207,1,3.05,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0
2000400,223.3016879,5.4864,2790.478889,0.524152009,0.578108903,0.805,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0
2000600,191.764508,5.7912,2910.469345,0.470265073,0.286056538,0.7225,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0
2002600,231.5208606,12.8016,2852.078499,0.267044217,0.434598715,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0
2003400,94.01260466,6.096,2841.392171,0.374043669,0.432279082,0.9,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0
2004200,599.4370906,8.2296,2709.715725,0.239434629,0.909527931,1.745,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
